"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"437","재단법인은평구민장학재단","일반장학금","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","재학생: 직전학기 학업성적 평점 4.5(100점) 만점에 3.0 이상인 자신입생: 고등학교 3학년 2학기 성적 상위 40%이내/ 검정고시 80점 이상","한국장학재단 소득구간 8구간 이내(해당학기)","최대 2000000원 이내 * 등록금 범위 이내 지원","대학교 재학생 및 신입생","공고일 현재 은평구에 2년 이상 계속 거주(주민등록기준)하고 있는 대학생","장학생선정심사위원회에서 선발","OO명","학점은행제/ 사이버(원격)대학/ 방송통신대학부적격자 및 추천서/ 구비자1세대당 1명 선발정규학기 초과자 * 자세한 사항은 첨부파일 참고","추천권자(학교장 등)의 직인을 받은 신청서 및 기타 제출서류 제출","장학생 신청서 개인정보 수집·이용·제공 및 조회 동의서주민등록초본주민등록등본재학증명서성적증명서소득구간(분위)통지서등록금 입증서류장학금 수혜 증명서가점증빙서류통장 사본 * 자세한 사항은 첨부파일 참조","http://www.epjh.or.kr","2023-09-25","2023-10-13"
"438","재단법인은평구민장학재단","지역사회기여장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","최근 1년간 평균 성적이 4.5만점에 3.0점 이상인 자신입생 : 고등학교 3학년 성적이 상위 40%이내인 자","해당없음","연 최대 2000000원시간당 1만 5천원 (활동시간에 따라 차등지급 분기별 지급)","서울/경기 소재 대학교 및 휴학생초/중/고등학생의 학습지도 가능한 자화상플랫폼을 통한 온라인 학습지도 가능한 자멘토링 활동기간동안 지속적으로 활동 가능한 자 ","공고일 현재 은평구 2년 이상 거주자","1차 서류심사: 지원자의 자격요건 등 소정의 기준 적합여부 서면심사2차 면접심사: 봉사정신/ 성실성/ 책임성/ 지도능력 등 활동수행에 필요한 능력 심사 ","20명","교환학생/ 실습/ 인턴/ 연수/ 군입대 등으로 지속적인 활동이 어려운 경우 지원 자제 요망봉사활동시간 인정 불가2개월이상 미 활동시 장학생 활동 중단학점은행제/ 사이버대학/ 방송통신대학 재학생 제외","해당없음","지역사회기여 장학생 지언 신청서 및 자기소개서개인정보 동의서재학(휴학)증명서성적증명서 * 자세한 사항 공고문 참조","http://www.epjh.or.kr","2023-01-19","2023-01-30"
"439","재단법인 동래장학회","장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","대학교 신입생의 경우 수능성적을 기준으로 선발","생활정도는 보호자(부모 모두)의 재산과 소득상황을 각각 반영","본인부담액 등록금 범위 내(2000000원)에서 지급","해당없음","신청일 현재 학부모와 학생이 동래구에 1년 이상 주민등록이 되어 있으며 사실상 거주하고 있는 대학생","학업성적 60%/ 생활정도 40%","20명","휴학생/ 국외학생/ 대학원생/ 대학원입학예정자부·모의 학자금/ 국가/ 지자체/ 해당학교/ 타 장학금으로 등록금 이상의 금액을 초과하여 수혜를 받은 경우","해당없음","장학금 신청서개인정보 이용/수집/제공 및 조회 동의서신청인서약서추천서주민등록등본재학증명서보호자 소득확인재산 증빙서류 및 부채증명서저소득확인서(해당자)장애인증명서(해당자)성적서류","http://www.dongnaesf.kr/","2023-02-20","2023-02-28"
"440","(재)부산북구장학회","장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 성적 평점 B학점 이상","해당없음","최대 2000000원","부산광역시 북구 관내 거주 대학생으로 학업성적 우수자 등","신청일 현재 부산광역시 북구 관내 3년 이상 계속 거주자(세대주/ 보호자)의 자녀","해당없음","22명 내외","기타 타기관으로부터 전액 장학금을 받고 있는 자대학 졸업예정자(대학 최종 학기 등록자)가구(보호자 합산) 연소득 9/600만원 이상인 세대부동산 및 동산 합계액에서 부채를 제외한 합계 10억원 이상 보유 가구(보호자 합산)","해당없음","장학금 신청서개인정보 수집/이용/제공 및 조회 동의서건강보험료 납입증명서직장년도 근로소득원천징수영수증(해당자)임대차계약서재학증명서성적증명서 * 자세한 사항은 첨부파일 참조","http://www.bsbukgu.go.kr","2022-09-06","2022-10-05"
"441","(재)행복영도장학회","장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1인당 3000000원","학업우수 : 학년 교과목 성적이 상위 20% 이내인 학생생계곤란 : 기준에 미달하더라도 경제적 이유로 학업이 곤란한 자특기 : 문화/예술/체육/과학 기능분야에 소질과 재능이 뛰어난 학생으로서 시 단위 이상의 대회에서 1위 입상 또는 자격 취득자기타 : 지역사회에 봉사하거나 의로운 일을 한 영도를 빛낸 학생","공고일 현재 6개월 이상 부산시 영도구 거주하는 재학생","해당없음","15명","국가/ 지방자치단체/ 학교 타 기관 등으로부터 장학금을 받고 있는 학생 또는 받을 예정인 학생 ","학교장/동장 추천","장학생 지원 신청서성적증명서개인정보 수집·이용 동의서신청인 서약서지적전산자료이용 위임장재산세 과세내역서소득증빙서류특기자 증명서기타 증명서무주택 증명서주민등록 등본재학증명서 ","http://hll.yeongdo.go.kr","2022-12-21","2023-01-06"
"442","재단법인 동구교육발전장학회","진학우수장학금","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","내신우수 : 고교 3학년 성적 과목별 등급평균 2등급 이내인 자수능우수 : 수능 언어/ 외국어/ 수리영역의 합이 7등급 이내인 자","해당없음","2000000원","공고일 현재 대구시내 고등학교를 졸업하고 2023년도 국내 4년제 대학교에 진학한 대학 신입생","대구광역시 동구에서 출생하였거나/ 공고일 현재 계속하여 1년 이상 동구에 주민등록을 두고 거주한 자 ","동점자 발생/ 미달 분야 발생 등 선발에 관한 예기치 못한 사유 발생시 장학생 선발 심의회에서 결정","해당없음","해당없음","대학총장/ 학교장 ","장학금 지원 신청서 재학증명서성적증명서주민등록초본통장사본장학생추천서등록금 납입 확인서 고등학교 졸업증명서고등학교 성적증명서 또는 수능성적표 * 자세한 사항은 첨부파일 참고","http://www.donggujhh.or.kr","2023-03-02","2023-03-31"
"443","재단법인 동구교육발전장학회","특기장학생","지자체","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","2000000원","국내 대학에 재학 중인 자선발분야 : 체육/ 음악/ 미술/ 과학/ 기능신청자격 : 직전 1년간 광역시 및 도단위 이상 규모의 공공기관이 주최(주관)하는 대회에서 3위 이내의 성적으로 입상한 자","대구광역시 동구에서 출생하였거나/ 공고일 현재 계속하여 2년 이상 동구에 주민등록을 두고 거주한 자 ","동점자 발생/ 미달 분야 발생 등 선발에 관한 예기치 못한 사유 발생시 장학생 선발 심의회에서 결정상위대회 (국제대회 > 전국대회 > 광역시·도 단위 대회)","해당없음","2022학년 1학기 휴학생 제외1세대 1명으로 제한","학교장/ 총장 추천학교당 1명만 추천가능","장학금 지원 신청서재학증명서성적증명서주민등록초본자기소개서개인정보 수집이용제공 및 조회동의서통장사본지원 대상 추천서대회수상 실적서입상자료 사본 * 자세한 사항은 첨부파일 참고","http://www.donggujhh.or.kr","2022-03-10","2022-03-31"
"444","재단법인 대구광역시서구인재육성재단","희망 장학생 ","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 12학점 이상 이수자로서 100점 만점의 평균 70점 이상 * 1학년일 경우 2022년 고3 2학기 이수과목의 50% 이상이 5등급 이상","2023년 기준중위소득 100% 이내재산총액이 2억원 이하 ","당해학기 등록금에서 타장학금 수혜금액을 차감하고 최대 150만원/1인지급","대학(교)에 재학 중인 학생","선발 공고일 현재 1년 이상 대구광역시 서구 관내 주소를 두고 거주하는 구민 또는 그 자녀","평균성적 우수자 순 (백분율 기준)동점자순위결정 기준 : 성적순 > 소득·재산 적은자 순","5명","1세대 1명2023년도 휴학생 또는 복학생정규학기 초과 재학생사이버(원격)대학/ 방송통신대학/ 기능대학/ 기술대학/ 한국농수산대학/ 학점은행제 등공고일 직전 1년간 징계처분 받은 자","해당없음","장학생신청서품행 및 장학금 수혜여부 확인서개인(신용)정보 수집·이용·제공 및 조회 동의서/ 서약서2023년 1학기 교육비 납입증명서2022년 2학기 성적증명서(평균성적 백분율 표기)재학증명서대상자 주민등록등본동장사실조사서 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고","http://www.dgs.go.kr/main/main.php","2023-03-06","2023-03-24"
"445","재단법인 대구광역시서구인재육성재단","성적우수 장학생 ","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 12학점 이상 이수자로서 100점만점의 평균 90점 이상","해당없음","최대 1500000원","대학(교)에 재학 중인 학생","선발 공고일 현재 1년 이상 대구광역시 서구 관내 주소를 두고 거주하는 구민 또는 그 자녀","해당없음","9명","1세대 1명대학교 1학년당해 학기 타 장학금 또는 학비감면(150만원 이상)의 수혜를 받은 자 (부모직장에서의 지원도 해당)2023년도 휴학생 또는 복학생정규학기 초과 재학생사이버(원격)대학/ 방송통신대학/ 기능대학/ 기술대학/ 한국농수산대학/ 학점은행제 등 제외","대학교 총장의 추천필요","성적우수 장학생 신청 및 추천서품행 및 장학금 수혜여부 확인서개인정보 수집이용제공 및 조회 도으이서2023년 1학기 교육비 납입 증명서2022년 2학기 성적증명서(평균성적 백분율 표기)재학증명서대상자 주민등록 등본 1부 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고","http://www.dgs.go.kr/main/main.php","2023-03-06","2023-03-24"
"446","재단법인 대전광역시서구인재육성장학재단","특기장학생","지자체","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1500000원","대전광역시 소재 대학생선발공고일 기준 최근 1년 이내에 예능/체육/과학/문학 등의 분야에서 국제 및 전국대회 3위 이내의 성적을 거둔 학생 * 실적인정 기간 2021.10월~2022.9월 * 자세한 사항은 첨부파일 참조","선발공고일(22.10.1) 기준 6개월 전(22.4.1.)부터 서구에 주소를 둔 학생","해당없음","1명","1세대 1명만 신청 가능2022년도 타장학금 수혜자(등록금 상당)는 제외 * 자세한 사항은 첨부파일 참조","학교장 또는 총장 추천 필요","장학금 지원 신청서장학생 추천서주민등록등본서약서개인정보 수집/이용/제공 및 조회 동의서통장사본재학증명서각종 대회 입상 증명서 및 대회 요강 사본 * 자세한 사항은 첨부파일 참조","http://www.seogu.go.kr","2022-10-11","2022-10-21"
